stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
600,CLUTE,49.1882259584964,-81.0101509373636,0
601,WURTELE,49.4077299814672,-81.0599049925805,0
602,ISLAND FALLS,49.5688869897277,-81.4227899350227,0
603,BROWNRIGG,49.6814969368279,-81.5223049186171,0
604,FRASERDALE,49.8469059169293,-81.6179689206184,0
605,OTTER RAPIDS,50.2153439540416,-81.6759239975364,0
606,CORAL,50.2179509773851,-81.6831129882485,0
607,RANOKE,50.4272029269487,-81.5869109518827,0
608,ONAKAWANA,50.5963459610939,-81.4297879859806,0
609,MOOSE RIVER,50.8133859559894,-81.2921059224755,0
610,RENISON,50.9680279623717,-81.1274479608984,0
611,GALETON,51.1332839727402,-80.9137239307166,0
115,MOOSONEE,51.2752699758858,-80.6473729480059,0
217,TIMMINS HOSPITAL,48.4870739746839,-81.3143939897419,0
215,NORTH BAY HEALTH CTR,46.3355459645391,-79.497410953045,0
218,ENGLEHART HOSPITAL,47.8234779462219,-79.8792379908264,0
216,TEMISKAMING HOSPITAL,47.4952489882708,-79.693890977651,0
457,AGAWA BAY,47.3314619902522,-84.6132989320905,0
219,VAUGHAN - HWY 407,43.7834459636361,-79.5235739741475,0
220,VAL RITA,49.4438119791449,-82.5401139725,0
507,THUNDER BAY,48.372585978359,-89.3032629322261,0
504,NIPIGON,49.0138949453831,-88.2637179270388,0
503,PAYS PLAT,48.8821699842811,-87.5563219282777,0
502,SCHREIBER,48.8143339846284,-87.2686339728535,0
501,TERRACE BAY,48.783001927659,-87.1001089364291,0
500,MARATHON,48.7207499518991,-86.373419975862,0
513,MANITOUWADGE JCT,48.7039959523827,-85.8589679282159,0
529,WINNIPEG,49.9066209420562,-97.1541729569436,0
528,SOUTHDALE MALL,49.854447953403,-97.0785209164024,0
526,PRAWDA,49.6492379251868,-95.793026983738,0
525,KENORA,49.7595599479974,-94.4689699262381,0
524,VERMILION BAY,49.8548939544708,-93.3845409192146,0
523,DRYDEN,49.7893249243498,-92.8281409665943,0
521,IGNACE,49.416730972007,-91.663681967184,0
520,UPSALA,49.0414179302752,-90.4684709385038,0
534,PROVINCE OF ONTARIO,49.7400949895382,-95.1375439669938,0
533,TIME ZONE,48.9027199801058,-90.0274169538171,0
535,PROVINCE OF MANITOBA,49.7393059171737,-95.1531349774451,0
509,LAKEHEAD UNIVERSITY,48.4223839547486,-89.2608979437501,0
508,TB HEALTH SCIENCES CTR,48.4260159172118,-89.2702789697797,0
544,KAKABEKA FALLS,48.4016059711576,-89.6152319200338,0
536,SIOUX NARROWS,49.4075829628855,-94.0946119185538,0
537,NESTOR FALLS,49.1144379694015,-93.926410926506,0
538,EMO,48.6332259513438,-93.8303999975325,0
539,DEVLIN,48.6211779713631,-93.6732939630748,0
