Station ID,Stations,State/Province,Type,Zone,Time zone diff,Latitude,Longitude
215,NORTH BAY HEALTH CTR,ON,,1,0,46.335546,-79.497411
186,NORTHERN COLLEGE,ON,,1,0,48.487871,-81.200476
154,NOVAR,ON,,1,0,45.451118,-79.247835
608,ONAKAWANA,ON,,1,0,50.596346,-81.429788
201,OPASATIKA,ON,,1,0,49.526985,-82.865617
149,ORILLIA,ON,,1,0,44.596961,-79.409994
301,ORILLIA TRANSIT,ON,,1,0,44.608925,-79.420321
113,OTTAWA,ON,,1,0,45.408930,-75.694745
551,OTTAWA - VIA RAIL,ON,,1,0,45.416700,-75.651980
112,OTTAWA BAYSHORE MALL,ON,,1,0,45.345728,-75.809819
549,OTTAWA HOSPITAL,ON,,1,0,45.399970,-75.647370
605,OTTER RAPIDS,ON,,1,0,50.215344,-81.675924
199,PARIS ST.,ON,,1,0,46.493086,-80.990657
141,PARRY SOUND,ON,,1,0,45.343456,-80.010127
506,PASS LAKE CORNERS,ON,,1,0,48.603523,-88.782162
143,PASSENGER REVENUE - NORTH BAY,ON,,1,0,46.313775,-79.438160
503,PAYS PLAT,ON,,1,0,48.882170,-87.556322
107,PEMBROKE,ON,,1,0,45.826163,-77.116359
106,PETAWAWA,ON,,1,0,45.901821,-77.284713
475,PIC MOBERT FIRST NATION,ON,,1,0,48.700699,-85.536827
135,PICKEREL RIVER RD,ON,,1,0,45.973958,-80.574739
424,POINT ALEXANDER,ON,,1,0,46.134727,-77.554327
139,POINTE AU BARIL,ON,,1,0,45.596451,-80.374063
189,PORQUIS JCT,ON,,1,0,48.711000,-80.783074
145,PORT SEVERN,ON,,1,0,44.808121,-79.734940
153,PORT SYDNEY,ON,,1,0,45.218371,-79.306008
160,POWASSAN,ON,,1,0,46.077034,-79.359653
526,PRAWDA,MN,,1,0,49.649238,-95.793027
535,PROVINCE OF MANITOBA,ON,,1,0,49.739306,-95.153135
534,PROVINCE OF ONTARIO,ON,,1,0,49.740095,-95.137544
179,RAMORE,ON,,1,0,48.433637,-80.327073
607,RANOKE,ON,,1,0,50.427203,-81.586911
462,RED LAKE,ON,,1,0,51.019050,-93.843800
511,RED ROCK,ON,,1,0,48.942887,-88.258694
109,RENFREW,ON,,1,0,45.469493,-76.668107
610,RENISON,ON,,1,0,50.968028,-81.127448
231,REST STOP (PS),ON,,1,0,45.305566,-79.894116
556,RICHER,MB,,1,0,49.662083,-96.456537
425,ROLPHTON,ON,,1,0,46.171579,-77.697334
428,RUTHERGLEN,ON,,1,0,46.270394,-79.040451
450,SANDFIELD,ON,,1,0,45.701493,-81.997793
418,SAULT AREA HOSPITAL,ON,,1,0,46.548940,-84.312090
417,SAULT COLLEGE,ON,,1,0,46.532568,-84.315283
438,SAULT COLLEGE (N),ON,,1,0,46.534197,-84.314286
439,SAULT COLLEGE (S),ON,,1,0,46.534037,-84.313329
490,SAULT STE MARIE,ON,,1,0,46.546081,-84.324177
416,SAULT STE MARIE OLD,ON,,1,0,46.518849,-84.279906
502,SCHREIBER,ON,,1,0,48.814334,-87.268634
177,SESEKINIKA northbound,ON,,1,0,48.166586,-80.249729
237,SESEKINIKA southbound,ON,,1,0,48.208632,-80.260601
