route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
8A,a1c1be47-a6f9-4187-8396-05fd20f2b819,ecf61e7d-b257-4b5e-84c0-f8bf6abfb247,9f199383-c599-4af4-8ffa-65f755605207,RVH/YONGE to Georgian College,0,c4a9c4d4-2187-4b2b-8117-ab3abc00336a
12A,8e896df6-2496-4d4f-9079-946c6e56c815,57f3ff58-78bc-4c46-9685-12c83fc8f960,e0263110-798e-4af8-a72f-a56bb0e9c48b,GEORGIAN MALL,0,9531fac9-23e4-4626-81ed-23c9668a704c
8B,8e896df6-2496-4d4f-9079-946c6e56c815,55323ce5-325b-4571-a5a2-780b4aead774,e746c9d8-4448-4c6d-9304-539715bb1630,Crosstown/Essa to Park Place ,1,d47435b3-f3f8-4d43-a8d8-aba91a4e3a1d
8A,fcfc42af-1cc2-48e2-a437-c965c0129a04,c2c378d0-f2eb-4da6-bc05-f65cec2f1b25,25c9dca2-b826-4dd0-9404-2a48b548e2cb,RVH/YONGE to Georgian College,0,39fa4095-4707-43ee-9d2d-91b8b14dc222
2B,fcfc42af-1cc2-48e2-a437-c965c0129a04,d887364a-9a8f-4a39-818a-e490bb5a484c,71438cc9-96fa-4b62-9915-4c5f2d7a7e71,PARK PLACE to Park Place,0,302fe5fc-feac-4c1f-b121-027a53441203
8A,a1c1be47-a6f9-4187-8396-05fd20f2b819,9f2d5cb7-2e82-4b75-87bb-384b3cdc2843,9f199383-c599-4af4-8ffa-65f755605207,RVH/YONGE to Georgian College,0,fc9f23bb-3b72-4b9c-891d-b3452ec055ef
8B,fcfc42af-1cc2-48e2-a437-c965c0129a04,e1d01fbf-2a2f-45d4-bf21-5d079dbfe2b6,37ce28b0-cc30-4e39-8c9b-59a2cf19001d,Crosstown/Essa to Park Place ,1,f2dafbb6-5a41-4015-a970-836f9e38d22b
2B,fcfc42af-1cc2-48e2-a437-c965c0129a04,9c17eadf-8f48-44d2-9575-d0d7b871ffae,71438cc9-96fa-4b62-9915-4c5f2d7a7e71,PARK PLACE to Park Place,0,95bf5ab2-9bf9-4a3f-a4cf-e6c28d2b8b39
101,8e896df6-2496-4d4f-9079-946c6e56c815,f3a43415-6f25-4462-a91d-782dc8d4c4d3,16e24061-2912-4417-8b4d-22ef2cf83055,Blue,0,95c8eea0-dd67-4424-8f48-4f95bfac7c20
8B,fcfc42af-1cc2-48e2-a437-c965c0129a04,8fe25e65-7107-4c15-a45e-4ea493e84929,4e5e5b70-82ba-4a38-b972-63ae4410aecd,Crosstown/Essa to Georgian College ,0,0b9ed5f1-2586-4018-ab02-3e7562abfdf6
7A,a1c1be47-a6f9-4187-8396-05fd20f2b819,b0a2ce98-2e78-4f88-af3f-81cf07e6becc,16856e2e-ee13-4bf5-80ed-e3df337bba43,GROVE to Georgian College,0,b4edd0a7-6d9c-4b05-98cd-67748cd309ed
12B,8e896df6-2496-4d4f-9079-946c6e56c815,f87630d9-b5d6-4c8b-80da-4f474bf3097f,7a60c776-ff39-4336-9aec-a4e2d41c8d39,BARRIE SOUTH GO,0,9531fac9-23e4-4626-81ed-23c9668a704c
12B,8e896df6-2496-4d4f-9079-946c6e56c815,649cecc7-483d-47e9-9f45-597187a08d0d,7a60c776-ff39-4336-9aec-a4e2d41c8d39,BARRIE SOUTH GO,0,7472b86e-4fe4-4b1d-97c3-23e7f82ca3f7
2A,8e896df6-2496-4d4f-9079-946c6e56c815,b25304b4-1077-4f87-9844-f352cb988a40,88bd2f54-d682-443e-adfb-93b377fa37bb,DUNLOP to Downtown Barrie Terminal,0,b678c8b0-7822-43b2-ba47-8f074346300b
8B,fcfc42af-1cc2-48e2-a437-c965c0129a04,2463b5b1-72bf-4152-a32a-975c4a8669a0,18605884-d064-4997-8f13-e35b129b16a0,Crosstown/Essa to Georgian College ,0,ea8d2952-e322-4009-b1f6-5797364510ee
11,fcfc42af-1cc2-48e2-a437-c965c0129a04,aea4e6b9-9685-46cb-b5d6-a0bfe985289e,de78c483-7fab-46e3-af0e-f32f701179ed,NORTH LOOP to Downtown Barrie Terminal,0,689eb928-ff8e-431f-8d3f-416a9fd1f511
8A,fcfc42af-1cc2-48e2-a437-c965c0129a04,7c745f1d-fa78-496e-839a-8119e5555231,6f3a7527-cb33-4e34-b391-c26945351e44,RVH/YONGE to Park Place,1,d6fd9cd8-6a3b-445f-a152-21229a91cd44
8B,fcfc42af-1cc2-48e2-a437-c965c0129a04,cf782a67-d577-4322-8909-f6d9cc21d8b3,18605884-d064-4997-8f13-e35b129b16a0,Crosstown/Essa to Georgian College ,0,4c6c08e0-41d0-4d0c-9896-eeebb4cd5a84
100,fcfc42af-1cc2-48e2-a437-c965c0129a04,e0ece3f6-947c-4329-86a3-51f324747f03,f2b219d4-3593-4748-b626-dc2fb2151969,Red Express  to Downtown Barrie Terminal,0,c9cf60d4-a9d1-441d-9b22-026f35be88e8
