shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
23361bcf-9d2f-4b5f-a4d6-45c9afe939f0,44.3663616100765,-79.6960051176551,130,18321.53
67cb1e97-67ff-4503-aa48-abc8c73c8fa0,44.40802404,-79.70620755,15,2698.56
a5771baa-d2e0-4c44-a091-e0f0ffaab9da,44.3437769071417,-79.6761330390202,276,23756.27
fc12d730-8679-48bd-9b5a-a139a03a8154,44.3941938582179,-79.6855839378769,18,1195.9
14bbc026-fddd-46b2-8ec7-13a222e92ce0,44.3917343104819,-79.676014745041,261,23752.66
af017968-897b-470d-983c-5bab1508033d,44.4123267459658,-79.6694026003975,208,22850.03
f3c4f678-ae76-42a2-b5cf-797fe765274b,44.3960925576742,-79.7338054915551,105,6059.84
0f222b01-e747-4b9d-be96-92877cec5877,44.34062273,-79.71360782,54,7317.14
f4356c7f-0d5b-4427-adc3-e75cbb2eafce,44.345235099488,-79.6700276082077,58,5349.12
3a60d038-bf9e-43d0-9a0d-2adcbc771f2c,44.3227332011684,-79.7224638556464,106,10177.98
acdb3047-7cf5-4a51-96a7-55e1a5e6d54a,44.3500024952522,-79.6290613752173,259,30047.66
f756231f-2f4e-431c-841d-f09442b17b03,44.3396038913491,-79.7179992328882,101,14317.62
f4356c7f-0d5b-4427-adc3-e75cbb2eafce,44.32504571,-79.72906455,148,11988.46
7cceab4f-4848-411d-af4d-516653b12c9b,44.40347316,-79.70744886,86,5835.56
f756231f-2f4e-431c-841d-f09442b17b03,44.3243937950235,-79.7173883697872,72,10610.35
67cb1e97-67ff-4503-aa48-abc8c73c8fa0,44.4136467030495,-79.6687051088489,82,8044.8
c6a34644-a507-41ad-85df-6f0e3acda408,44.33691527,-79.70991124,48,6710.17
de0ef646-3bdc-49ab-9d4f-910e036942e3,44.3748665761843,-79.6889108536628,65,5560.82
14bbc026-fddd-46b2-8ec7-13a222e92ce0,44.3481460603393,-79.6699351223622,36,5024.01
b432141f-1e33-4476-83b5-d10122614ac0,44.3748697877426,-79.6895896255771,172,11467.4
a5771baa-d2e0-4c44-a091-e0f0ffaab9da,44.3856653140433,-79.6915828981795,122,8605.59
1a520a5d-7201-4d80-b4c0-79df4d7f608c,44.3787913876879,-79.7117747130384,61,7821.63
47c58a29-9a71-4021-a319-c82abca6f233,44.3388543640427,-79.6791801201612,75,11384.59
de0ef646-3bdc-49ab-9d4f-910e036942e3,44.3968288810672,-79.6963295387779,22,2415.55
913c0655-760b-47c2-b047-01af413b83b5,44.3512496357042,-79.6276961745094,197,21729.56
a5771baa-d2e0-4c44-a091-e0f0ffaab9da,44.3392649875243,-79.7202022048744,195,15572.41
7cceab4f-4848-411d-af4d-516653b12c9b,44.4119020976301,-79.703841609778,65,4190.79
03113888-0669-4b4a-b0d8-8d87fa8db294,44.399395,-79.650872,67,5687.92
0f222b01-e747-4b9d-be96-92877cec5877,44.3397648238995,-79.7179026733579,57,7671.92
acdb3047-7cf5-4a51-96a7-55e1a5e6d54a,44.3906716645886,-79.6929166267114,77,7925.3
de0ef646-3bdc-49ab-9d4f-910e036942e3,44.3747951402545,-79.6887035683192,77,5928.42
2dd22216-f2a2-4a2f-87dc-ac1647b90014,44.3800629020927,-79.7109662437992,106,12674.64
af017968-897b-470d-983c-5bab1508033d,44.3511477130543,-79.7000850994681,67,10005.46
14bbc026-fddd-46b2-8ec7-13a222e92ce0,44.3748766845074,-79.6890110729261,190,20058.04
c3921239-be69-4edd-9727-a1656c7c1df2,44.3717871443215,-79.7371579724134,66,5547.72
1a520a5d-7201-4d80-b4c0-79df4d7f608c,44.3609369904418,-79.6975400905148,76,10225.7
72ad0ba1-cacf-40fb-adaf-240728a55d34,44.408808591924,-79.7108127155081,69,6139.54
72ad0ba1-cacf-40fb-adaf-240728a55d34,44.4073044512153,-79.6848232302852,116,9071.27
972d7113-fec4-4888-8ea9-5b2b693b8cdd,44.3914308900181,-79.6772091638183,25,1641.68
9760712d-56fe-44bb-a303-0a8e28856f57,44.4067978304572,-79.6548411586763,40,2786.62
913c0655-760b-47c2-b047-01af413b83b5,44.3753574287775,-79.6911327541415,49,5281.46
72ad0ba1-cacf-40fb-adaf-240728a55d34,44.4104488915148,-79.6766554288012,128,9819.5
1a520a5d-7201-4d80-b4c0-79df4d7f608c,44.3473157534086,-79.691495956464,99,13117.19
913c0655-760b-47c2-b047-01af413b83b5,44.3554238535145,-79.6550543218424,149,15150.15
c6a34644-a507-41ad-85df-6f0e3acda408,44.3746120998448,-79.6904526848372,83,15335.33
acdb3047-7cf5-4a51-96a7-55e1a5e6d54a,44.3409869762753,-79.6785465391284,221,24026.46
913c0655-760b-47c2-b047-01af413b83b5,44.3678348371614,-79.6923941291149,65,6203.38
8f69b897-3f71-4b57-b8a5-9c248b697f5c,44.4036229292424,-79.6829910970722,9,1101.68
9760712d-56fe-44bb-a303-0a8e28856f57,44.3950806073346,-79.6667481410359,66,5716.53
913c0655-760b-47c2-b047-01af413b83b5,44.4118745345584,-79.7085762670262,0,0
627eb4ad-5ed6-4a87-9511-c02654004b05,44.3860637775697,-79.693164658139,159,17272.3
fc12d730-8679-48bd-9b5a-a139a03a8154,44.3854160542041,-79.71058275863,216,15921.85
de0ef646-3bdc-49ab-9d4f-910e036942e3,44.350471012168,-79.7345988604558,107,11559.67
972d7113-fec4-4888-8ea9-5b2b693b8cdd,44.4154789801079,-79.6611757465238,67,7051.41
627eb4ad-5ed6-4a87-9511-c02654004b05,44.3742460095967,-79.6889055607085,125,15449.44
33c75c11-ce10-45d4-a0ad-d91664591a4f,44.3624824724094,-79.6577367139526,53,3718.29
