route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
2A,83f00a42-51d3-48a7-9f79-2e8419a06c9d,daa9b893-7309-424c-a038-ce8404807134,c630cdfc-baba-436b-8b26-4f181272c079,DUNLOP to Downtown Barrie Terminal,0,cace8a1a-e150-4990-b901-50e7e10e8f0c
11,f4b890df-95f4-4de6-9236-6c2c0e207b96,3eb59a85-e918-4780-85e1-5ee62a8bc676,f5319fa2-6c54-47a1-a89c-b560be78cc57,NORTH LOOP to Downtown Barrie Terminal,0,0d36c36c-4536-4ceb-89b3-bce8efdc2f8b
100,e143ad2f-079a-40bc-9584-bcc38f003c82,f5cbcb5d-b538-4652-8abb-611c5e993891,43a593d1-2077-4815-955c-0c23cab3e490,Red Express  to Downtown Barrie Terminal,0,9a56a05f-fb86-4a68-b662-89d0df72ef5c
10,83f00a42-51d3-48a7-9f79-2e8419a06c9d,82bec564-6c31-496e-9134-da64667df15e,bc228c4b-32ad-4ad7-9793-a5af71adaa14,NORTH LOOP to Downtown Barrie Terminal,0,920eb5f7-96d3-4485-bb58-d8a94379cfe4
2A,f7362610-9cc6-4990-b05c-5d3dc36f9f00,1f4c0ea4-4852-44cd-b58e-5fae5b9d37b8,c630cdfc-baba-436b-8b26-4f181272c079,DUNLOP to Downtown Barrie Terminal,0,a222ee49-a7ba-4c42-a8ee-81f468271a47
11,9b8ca608-e9d6-4b70-af36-504135a2886c,8f67ddfc-0768-4e7b-bb03-4834938d4822,f5319fa2-6c54-47a1-a89c-b560be78cc57,NORTH LOOP to Downtown Barrie Terminal,0,d791c4ca-02ab-4b46-8e7c-e8c1bf9b2638
10,83f00a42-51d3-48a7-9f79-2e8419a06c9d,53385c00-55a8-4f02-adbd-5615b42a3473,bc228c4b-32ad-4ad7-9793-a5af71adaa14,NORTH LOOP to Downtown Barrie Terminal,0,920eb5f7-96d3-4485-bb58-d8a94379cfe4
400,83f00a42-51d3-48a7-9f79-2e8419a06c9d,f11a9b75-53cd-49f0-b3b6-00921bccbd36,092fe7c4-580f-464e-a434-62114c9d18be,EXPRESS  to RVH,0,afa3dcf2-97b2-425b-98e2-eb8716b809eb
8B,83f00a42-51d3-48a7-9f79-2e8419a06c9d,95077aad-6a98-4969-b905-ea165dbefce6,39428970-ef2a-41c0-8bf0-0866ebc21097,Crosstown/Essa to Park Place ,1,ecacb349-87da-483b-90be-7ee7210154a5
400,83f00a42-51d3-48a7-9f79-2e8419a06c9d,e3263190-1c60-4285-ae98-e91ce7fbad56,9526fdb0-cbfa-46de-81b2-3c04b228fd8d,EXPRESS  to Park Place,1,afa3dcf2-97b2-425b-98e2-eb8716b809eb
101,83f00a42-51d3-48a7-9f79-2e8419a06c9d,16f7554e-697b-43d4-876e-d26890d027e8,dd2785dd-43f9-48a0-8c0f-ccd8f5985096,Blue,0,14dcaa31-9379-44db-a120-c51716a8c5dc
2A,f4b890df-95f4-4de6-9236-6c2c0e207b96,478812f0-fde1-4591-84c1-487de0ea2a25,c630cdfc-baba-436b-8b26-4f181272c079,DUNLOP to Downtown Barrie Terminal,0,bbff25f7-da1a-4841-ac1b-4299107052bb
101,83f00a42-51d3-48a7-9f79-2e8419a06c9d,3c75f7fa-82bf-4582-b5c4-860b656ec744,dd2785dd-43f9-48a0-8c0f-ccd8f5985096,Blue,0,14dcaa31-9379-44db-a120-c51716a8c5dc
